Datetime,Open,High,Low,Close,Volume
2020-01-20 11:40:00,1.10881,1.10896,1.1087,1.10885,249
2020-01-20 11:45:00,1.10886,1.10888,1.10868,1.1088,185
2020-01-20 11:50:00,1.10881,1.10914,1.10878,1.10892,294
2020-01-20 11:55:00,1.10892,1.10909,1.10887,1.10897,207
2020-01-20 12:00:00,1.10896,1.10907,1.10877,1.10878,216
2020-01-20 12:05:00,1.10878,1.10884,1.10869,1.10882,134
2020-01-20 12:10:00,1.10882,1.10898,1.10873,1.10883,166
2020-01-20 12:15:00,1.10885,1.10889,1.10861,1.10869,120
2020-01-20 12:20:00,1.1087,1.10876,1.10864,1.10865,123
2020-01-20 12:25:00,1.10865,1.1088,1.10834,1.10849,223
2020-01-20 12:30:00,1.10849,1.10853,1.1083,1.10837,194
2020-01-20 12:35:00,1.10838,1.10866,1.10838,1.10858,184
2020-01-20 12:40:00,1.10861,1.10865,1.10858,1.10864,130
2020-01-20 12:45:00,1.10863,1.10873,1.10852,1.10868,119
2020-01-20 12:50:00,1.10869,1.10873,1.10866,1.10868,100
2020-01-20 12:55:00,1.10869,1.10869,1.10842,1.10842,122
2020-01-20 13:00:00,1.10843,1.10866,1.10842,1.10863,143
2020-01-20 13:05:00,1.10864,1.10876,1.10858,1.10868,184
2020-01-20 13:10:00,1.10869,1.1087,1.10848,1.1085,148
2020-01-20 13:15:00,1.1085,1.10864,1.10842,1.1086,159
2020-01-20 13:20:00,1.10861,1.10882,1.10859,1.10879,188
2020-01-20 13:25:00,1.10879,1.10879,1.10866,1.10872,112
2020-01-20 13:30:00,1.10872,1.10879,1.10864,1.10865,121
2020-01-20 13:35:00,1.10866,1.10866,1.10849,1.10853,78
2020-01-20 13:40:00,1.10851,1.10859,1.1085,1.10855,91
2020-01-20 13:45:00,1.10857,1.10873,1.10857,1.10867,89
2020-01-20 13:50:00,1.10867,1.10868,1.10864,1.10867,49
2020-01-20 13:55:00,1.10867,1.10874,1.10857,1.10857,101
2020-01-20 14:00:00,1.10858,1.1087,1.1085,1.10869,145
2020-01-20 14:05:00,1.1087,1.10872,1.10852,1.10854,74
2020-01-20 14:10:00,1.10855,1.10864,1.10854,1.10855,78
2020-01-20 14:15:00,1.10856,1.10856,1.10839,1.10839,132
2020-01-20 14:20:00,1.1084,1.10843,1.10828,1.1084,95
2020-01-20 14:25:00,1.1084,1.10859,1.1084,1.10858,91
2020-01-20 14:30:00,1.10856,1.10856,1.10843,1.10847,110
2020-01-20 14:35:00,1.10848,1.1087,1.10845,1.10856,130
2020-01-20 14:40:00,1.10855,1.10867,1.10855,1.10855,76
2020-01-20 14:45:00,1.10854,1.10856,1.10844,1.10845,81
2020-01-20 14:50:00,1.10845,1.1085,1.10835,1.10844,93
2020-01-20 14:55:00,1.10845,1.10848,1.10833,1.10839,132
2020-01-20 15:00:00,1.10839,1.10843,1.10834,1.10842,111
2020-01-20 15:05:00,1.10841,1.1085,1.10839,1.10848,94
2020-01-20 15:10:00,1.10847,1.10852,1.10841,1.10843,154
2020-01-20 15:15:00,1.10842,1.10848,1.10835,1.10837,138
2020-01-20 15:20:00,1.10836,1.10846,1.10821,1.10826,179
2020-01-20 15:25:00,1.10826,1.10826,1.10807,1.10812,170
2020-01-20 15:30:00,1.10811,1.10827,1.10805,1.1082,170
2020-01-20 15:35:00,1.10819,1.1084,1.10818,1.10833,121
2020-01-20 15:40:00,1.10831,1.10851,1.10824,1.10849,151
2020-01-20 15:45:00,1.10849,1.10849,1.10833,1.10838,173
2020-01-20 15:50:00,1.10838,1.10855,1.10837,1.1085,125
2020-01-20 15:55:00,1.1085,1.10855,1.10832,1.10836,153
2020-01-20 16:00:00,1.10835,1.10836,1.10824,1.10828,154
2020-01-20 16:05:00,1.10827,1.10838,1.10821,1.10822,103
2020-01-20 16:10:00,1.10822,1.10823,1.108,1.10802,131
2020-01-20 16:15:00,1.10801,1.10821,1.10794,1.10821,143
2020-01-20 16:20:00,1.10821,1.10832,1.10812,1.10831,116
2020-01-20 16:25:00,1.1083,1.10838,1.10824,1.10834,91
2020-01-20 16:30:00,1.10833,1.10841,1.10831,1.10832,118
2020-01-20 16:35:00,1.10834,1.10841,1.10822,1.10834,107
2020-01-20 16:40:00,1.10835,1.10846,1.10834,1.10839,88
2020-01-20 16:45:00,1.1084,1.1084,1.10822,1.10825,92
2020-01-20 16:50:00,1.10826,1.10841,1.10821,1.10825,130
2020-01-20 16:55:00,1.10826,1.10827,1.10821,1.10821,129
2020-01-20 17:00:00,1.10822,1.10827,1.10816,1.10824,117
2020-01-20 17:05:00,1.10824,1.10825,1.10799,1.1081,150
2020-01-20 17:10:00,1.10811,1.10839,1.10809,1.10837,143
2020-01-20 17:15:00,1.10838,1.10843,1.10831,1.10843,112
2020-01-20 17:20:00,1.10842,1.10852,1.10842,1.10852,112
2020-01-20 17:25:00,1.10851,1.10852,1.10824,1.10835,121
2020-01-20 17:30:00,1.10834,1.10836,1.10827,1.10832,122
2020-01-20 17:35:00,1.10833,1.10839,1.10827,1.10829,77
2020-01-20 17:40:00,1.1083,1.1083,1.10798,1.108,140
2020-01-20 17:45:00,1.10799,1.10808,1.1079,1.10795,187
2020-01-20 17:50:00,1.10794,1.10795,1.10768,1.10774,177
2020-01-20 17:55:00,1.10774,1.10833,1.1077,1.10828,303
2020-01-20 18:00:00,1.1083,1.10837,1.10817,1.10835,242
2020-01-20 18:05:00,1.10837,1.10854,1.10825,1.10826,195
2020-01-20 18:10:00,1.10829,1.10834,1.10817,1.10833,125
2020-01-20 18:15:00,1.10832,1.10834,1.10825,1.10826,122
2020-01-20 18:20:00,1.10827,1.10832,1.10814,1.10815,66
2020-01-20 18:25:00,1.10815,1.10835,1.10811,1.10832,97
2020-01-20 18:30:00,1.10833,1.10845,1.10825,1.10827,110
2020-01-20 18:35:00,1.10826,1.10846,1.10826,1.10837,107
2020-01-20 18:40:00,1.10833,1.10848,1.10832,1.10841,91
2020-01-20 18:45:00,1.10842,1.10861,1.10837,1.10839,132
2020-01-20 18:50:00,1.1084,1.10849,1.1084,1.10845,70
2020-01-20 18:55:00,1.10844,1.10845,1.10835,1.1084,94
2020-01-20 19:00:00,1.10839,1.10853,1.10839,1.10853,69
2020-01-20 19:05:00,1.10854,1.10854,1.1084,1.10845,57
2020-01-20 19:10:00,1.10845,1.10852,1.10845,1.10851,33
2020-01-20 19:15:00,1.10851,1.10862,1.1085,1.10858,76
2020-01-20 19:20:00,1.10857,1.10861,1.10853,1.10857,55
2020-01-20 19:25:00,1.10857,1.1086,1.10856,1.10858,51
2020-01-20 19:30:00,1.10859,1.10868,1.10858,1.1086,86
2020-01-20 19:35:00,1.10858,1.10867,1.10857,1.10867,47
2020-01-20 19:40:00,1.10866,1.10868,1.10863,1.10865,24
2020-01-20 19:45:00,1.10866,1.10866,1.1084,1.1084,162
2020-01-20 19:50:00,1.10841,1.10844,1.10833,1.10837,46
2020-01-20 19:55:00,1.10836,1.10838,1.10832,1.10834,60
2020-01-20 20:00:00,1.10835,1.10835,1.10829,1.10832,50
2020-01-20 20:05:00,1.10832,1.10832,1.10829,1.10829,22
2020-01-20 20:10:00,1.1083,1.1083,1.10827,1.1083,29
2020-01-20 20:15:00,1.1083,1.10832,1.1083,1.10831,22
2020-01-20 20:20:00,1.10831,1.10831,1.10824,1.10826,866
2020-01-20 20:25:00,1.10826,1.10827,1.10825,1.10826,684
2020-01-20 20:30:00,1.10826,1.10828,1.10825,1.10828,306
2020-01-20 20:35:00,1.10827,1.10828,1.10824,1.10825,538
2020-01-20 20:40:00,1.10825,1.10826,1.10825,1.10825,630
2020-01-20 20:45:00,1.10826,1.10857,1.10825,1.10855,736
2020-01-20 20:50:00,1.10855,1.10901,1.10845,1.10889,484
2020-01-20 20:55:00,1.10888,1.10907,1.10867,1.10891,253
2020-01-20 21:00:00,1.10892,1.10893,1.10876,1.1089,169
2020-01-20 21:05:00,1.1089,1.10912,1.10885,1.10888,188
2020-01-20 21:10:00,1.10889,1.10892,1.10881,1.10885,83
2020-01-20 21:15:00,1.10885,1.10908,1.10885,1.10904,328
2020-01-20 21:20:00,1.10905,1.10912,1.10895,1.1091,184
2020-01-20 21:25:00,1.1091,1.10915,1.10904,1.10915,99
2020-01-20 21:30:00,1.10914,1.10919,1.10907,1.10917,128
2020-01-20 21:35:00,1.10917,1.10918,1.10907,1.10917,69
2020-01-20 21:40:00,1.10916,1.10918,1.10914,1.10916,72
2020-01-20 21:45:00,1.10917,1.10921,1.10911,1.10914,53
2020-01-20 21:50:00,1.10914,1.10919,1.10914,1.10919,67
2020-01-20 21:55:00,1.10919,1.1092,1.10917,1.10917,42
2020-01-20 22:00:00,1.10917,1.10947,1.10915,1.10932,329
2020-01-20 22:05:00,1.10932,1.10935,1.1092,1.10923,119
2020-01-20 22:10:00,1.10923,1.10924,1.10916,1.10924,95
2020-01-20 22:15:00,1.10924,1.10944,1.10919,1.10942,61
2020-01-20 22:20:00,1.10942,1.10945,1.10924,1.1093,119
2020-01-20 22:25:00,1.1093,1.10941,1.10927,1.1094,58
2020-01-20 22:30:00,1.1094,1.1098,1.10933,1.10964,279
2020-01-20 22:35:00,1.10965,1.10979,1.10948,1.10975,762
2020-01-20 22:40:00,1.10976,1.10978,1.10974,1.10974,57
2020-01-20 22:45:00,1.10974,1.10978,1.10967,1.10977,167
2020-01-20 22:50:00,1.10977,1.10978,1.10973,1.10978,91
2020-01-20 22:55:00,1.10978,1.10979,1.10968,1.10977,216
2020-01-20 23:00:00,1.10978,1.10978,1.1096,1.10969,165
2020-01-20 23:05:00,1.10966,1.10969,1.10954,1.10956,248
2020-01-20 23:10:00,1.10956,1.10963,1.10952,1.10961,244
2020-01-20 23:15:00,1.10962,1.10974,1.10959,1.10973,393
2020-01-20 23:20:00,1.10973,1.10976,1.10969,1.10974,112
2020-01-20 23:25:00,1.10974,1.10979,1.10974,1.10975,43
2020-01-20 23:30:00,1.10976,1.10976,1.10974,1.10974,25
2020-01-20 23:35:00,1.10975,1.10978,1.10972,1.10973,43
2020-01-20 23:40:00,1.10973,1.10978,1.10972,1.10977,81
2020-01-20 23:45:00,1.10977,1.10977,1.1095,1.10951,155
2020-01-20 23:50:00,1.10951,1.10971,1.10951,1.1096,152
2020-01-20 23:55:00,1.10963,1.10965,1.10934,1.10934,107
2020-01-21 00:00:00,1.10938,1.10942,1.10934,1.10942,31
2020-01-21 00:05:00,1.10942,1.10955,1.10942,1.10955,22
2020-01-21 00:10:00,1.10955,1.10955,1.10955,1.10955,16
2020-01-21 00:15:00,1.10955,1.10966,1.10955,1.10961,17
2020-01-21 00:20:00,1.10961,1.10962,1.10961,1.10961,9
2020-01-21 00:25:00,1.10961,1.10961,1.10958,1.10961,15
2020-01-21 00:30:00,1.10959,1.10962,1.10954,1.10962,95
2020-01-21 00:35:00,1.10962,1.10976,1.10955,1.10971,141
2020-01-21 00:40:00,1.10971,1.10973,1.10967,1.1097,100
2020-01-21 00:45:00,1.1097,1.10974,1.1097,1.10974,96
2020-01-21 00:50:00,1.10974,1.10974,1.10972,1.10974,17
2020-01-21 00:55:00,1.10973,1.10974,1.10961,1.10961,54
2020-01-21 01:00:00,1.10961,1.10965,1.10934,1.10935,220
2020-01-21 01:05:00,1.10936,1.10944,1.10935,1.10943,47
2020-01-21 01:10:00,1.10944,1.1095,1.10941,1.10949,55
2020-01-21 01:15:00,1.1095,1.1095,1.10946,1.1095,25
2020-01-21 01:20:00,1.10949,1.10951,1.10944,1.10945,18
2020-01-21 01:25:00,1.10948,1.10949,1.10945,1.10949,24
2020-01-21 01:30:00,1.10949,1.10955,1.10948,1.10948,32
2020-01-21 01:35:00,1.10949,1.1095,1.10946,1.10948,16
2020-01-21 01:40:00,1.10949,1.10963,1.10948,1.10959,55
2020-01-21 01:45:00,1.10958,1.10959,1.10953,1.10954,56
2020-01-21 01:50:00,1.10954,1.10968,1.10953,1.10963,75
2020-01-21 01:55:00,1.10963,1.10964,1.10962,1.10963,42
2020-01-21 02:00:00,1.10963,1.10969,1.10945,1.10954,178
2020-01-21 02:05:00,1.10953,1.10958,1.10951,1.10953,83
2020-01-21 02:10:00,1.10952,1.10953,1.10943,1.10944,70
2020-01-21 02:15:00,1.10944,1.10946,1.10935,1.10936,69
2020-01-21 02:20:00,1.10936,1.10941,1.10932,1.10936,69
2020-01-21 02:25:00,1.10936,1.10942,1.10936,1.10941,37
2020-01-21 02:30:00,1.10938,1.10938,1.10929,1.10929,41
2020-01-21 02:35:00,1.10929,1.10929,1.1091,1.10911,61
2020-01-21 02:40:00,1.10911,1.10921,1.1091,1.10916,68
2020-01-21 02:45:00,1.10916,1.10928,1.10916,1.10926,93
2020-01-21 02:50:00,1.10926,1.10935,1.10923,1.10931,71
